participant,scan_session_id,scan_date,scope,fitskin_reference,scan_timestamp_utc,skin_color_source,fitskin_cheek_L,fitskin_cheek_a,fitskin_cheek_b,fitskin_forehead_L,fitskin_forehead_a,fitskin_forehead_b,notes
Participant 1,may20_median_cheek,2026-05-20,per_participant,scan-sessions-2026-05-20 median cheek T1-T3,2026-05-20T15:44:47+00:00,cheek_lab_d65,68.90104438,11.38455874,15.75476456,64.6802613,12.31785387,16.77973476,Cross-session FitSkin reference for Pansor June 16 photos. June 16 XPOL scans excluded (different person).
Participant 2,may20_median_cheek,2026-05-20,per_participant,scan-sessions-2026-05-20 median cheek T2-T3,2026-05-20T15:33:06+00:00,cheek_lab_d65,52.360303395,13.30040114,21.17893594,47.369929305,13.478591845,22.69691028,Cross-session FitSkin reference; P2 T1 (May 8) excluded. June 16 XPOL scans excluded (different person).
